order-line,Assembly Line,Scheduled Ship Date,Orig Sched Date,Status,Sales Category,Rework,Order,Sched Date Priority,Issue Reason,Issue Resolved,Contains Tag,Line,Rel,Open Qty,Total Sections,Product Code,Final Assembly,Open Value,Open Discount Value,Comment,Sales Rep Code,PM,Operations Meeting Comments,Production Comment,Fixture Type,Pick Status,MachineShop Delivered,Wiring Delivered,Production Issue,NT,Material Check,Missing Materials,Schedule Date,Status2,Production Schedule,Unit Price,Unit Time,Section Completed,Remaining Section,Remaining value,Remaining Time,Issue,Rep. Count,Year,Month,Date,Order Count,Complete/Partial,Saw,BA ,weld,lens
72906-7,18,2/7/2019,1/9/2019,Machine Shop Finished,Regular,FALSE,72906,Regular,,FALSE,,7,1,1,2,B2SQDLED-1000-90-35-SO-21-AP-120-DP-1-CA(36),18.34,1785,0,On site for February 15th Going To: WINNIPEG MB R2C 2Z2,Integra,Rajithan Sivapatharajahon,,,K21,Picked - Complete,1/28/2019 0:00,2/4/2019 0:00,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,892.5,9.17,0,2,1785,18.34,,0,2019,2,7,1,Complete,TRUE,TRUE,,Done
72906-8,18,2/7/2019,1/9/2019,Machine Shop Finished,Regular,FALSE,72906,Regular,,FALSE,,8,1,1,2,B2SQDLED-1000-90-35-SO-20-AP-120-DP-1-CA(36),16.07,1700,0,On site for February 15th Going To: WINNIPEG MB R2C 2Z2,Integra,Rajithan Sivapatharajahon,,,K20,Picked - Complete,1/28/2019 0:00,2/4/2019 0:00,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,850,8.035,0,2,1700,16.07,,0,2019,2,7,1,Complete,TRUE,TRUE,,Done
77607-1,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,77607,Regular,,FALSE,,1,1,1,2,B2SQDLED-750-90-35-SO-19-AP-120-DP-1-CA(36),16,1862,0,,Integra,Rajithan Sivapatharajahon,,, K19,Picked - Complete,1/28/2019 0:00,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,931,8,0,2,1862,16,,1,2019,2,8,2,Partial,TRUE,TRUE,,Done
77607-2,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,77607,Regular,,FALSE,,2,1,1,2,B2SQDLED-750-90-35-SO-21-AP-120-DP-1-CA(36),18.4,2058,0,,Integra,Rajithan Sivapatharajahon,,,K21,Picked - Complete,1/28/2019 0:00,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,1029,9.2,0,2,2058,18.4,,0,2019,2,8,2,Partial,TRUE,TRUE,,Done
77607-3,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,77607,Regular,,FALSE,,3,1,1,3,B2SQDLED-750-90-35-SO-35-AP-120-DP-1-CA(36),27.4,3430,0,,Integra,Rajithan Sivapatharajahon,,,K35,Picked - Complete,1/28/2019 0:00,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,1143.333333,9.133333333,0,3,3430,27.4,,0,2019,2,8,2,Partial,TRUE,TRUE,,Done
77607-4,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,77607,Regular,,FALSE,,4,1,3,12,B2SQDLED-750-90-35-SO-38-AP-120-DP-1-CA(36),94.8,11172,0,,Integra,Rajithan Sivapatharajahon,,,K38,Picked - Complete,1/28/2019 0:00,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,931,7.9,0,12,11172,94.8,,0,2019,2,8,2,Partial,TRUE,TRUE,,Done
77607-5,4,2/8/2019,2/8/2019,Machine Shop Started,Regular,FALSE,77607,Regular,,FALSE,,5,1,3,15,"BRLEDPAT-OPR-90(1)-1000-90-35-SO-FL-41-NL-W-120-DP-1-DS-C(L-SHAPE PATTERN, 15'H X 26'W)",138,11400,0,,Integra,Rajithan Sivapatharajahon,,,N1,Picked - Complete,,,FALSE,FALSE,NO,#NAME?,,Machine Shop Started,,760,9.2,0,15,11400,138,,1,2019,2,8,2,Partial,TRUE,TRUE,Ready,
77607-6,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,77607,Regular,,FALSE,,6,1,36,36,B2SQDLED-1000-90-35-SO-4-AP-120-DP-1-CA(36),151.2,14112,0,,Integra,Rajithan Sivapatharajahon,,,P,Picked - Complete,1/28/2019 0:00,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,392,4.2,0,36,14112,151.2,,0,2019,2,8,2,Partial,TRUE,TRUE,,Done
78616-1,12,2/7/2019,2/7/2019,Machine Shop Started,Regular,FALSE,78616,Regular,Shortage,FALSE,,1,1,2,2,"BBDLED-750-80-40-SO-8-BLK-UNV-DP-1-CA(36"")",18,1440,0,,Integra,Rajithan Sivapatharajahon,,,D4,Picked - Complete,2/3/2019 0:00,2/4/2019 0:00,FALSE,FALSE,NO,,,Machine Shop Started,,720,9,0,2,1440,18,Shortage,1,2019,2,7,1,Complete,FALSE,FALSE,,Done
78279-1,18,2/12/2019,2/12/2019,Machine Shop Started,Regular,FALSE,78279,Regular,Shortage,FALSE,Extrusion,1,1,2,2,BBDILED-400-400-80-30-SO-8-BLK-UNV-DP-1-CA(48),23.6,1280,0,,Internat,Joe Brier,,,B,,2/5/2019 0:00,,FALSE,FALSE,NO,Material+Cartridge,,Machine Shop Started,,640,11.8,0,2,1280,23.6,Shortage,1,2019,2,12,1,Complete,FALSE,FALSE,,
