Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
75800,2,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-17,15.0,2,
75800,3,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-17,20.0,2,
77227,14,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,12.5,2,
77227,22,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,8.72,2,
77227,23,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,8.72,2,
77227,24,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,8.72,2,
77227,25,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,8.72,2,
77227,26,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,13.22,2,
77227,27,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,6.28,2,
77227,28,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,6.28,2,
77227,29,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,15.84,2,
77227,30,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,6.28,2,
77227,31,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,8.72,2,
77227,32,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,8.72,2,
77227,33,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,6.28,2,
77227,34,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,6.28,2,
77227,42,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,15.84,2,
77227,43,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,6.28,2,
77227,44,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,6.28,2,
77227,45,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-18,8.72,2,
77121,1,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,22.63,6,
77121,2,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,22.63,6,
77121,3,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,27.35,6,
77121,4,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,22.63,6,
77121,5,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,45.06,6,
77121,6,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,10.29,6,
77121,7,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,107.38,6,
77121,9,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,20.58,6,
77121,10,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-22,90.12,6,
76592,4,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,4.0,6,
76592,5,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,4.0,6,
76592,6,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,4.0,6,
76592,7,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,0.0,6,
76592,8,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,19.7,6,
76592,9,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,17.3,6,
