Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,Column12,Real Status,Completed Sections,Remaining Sections,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
75801-3,,Rohan,Regular,FALSE,75801,Regular,3,2,0,1820,"LT05/13' 6""-22ND","CLKLED-700-80-30-SO-13' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,34,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,TRUE,,A - Regular,1,4,8,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,Others,TRUE,,0.566666667,0:30:56,8.5,455,4,34,1820,- ,Machine Shop Started,0,4,FALSE,FALSE,,,"CLKLED-700-80-30-SO-13' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-4,,Rohan,Regular,FALSE,75801,Regular,4,1,0,910,LT05/14'-22ND,CLKLED-700-80-30-SO-14'-W-UNV-DP-1-AC-FW(6),18.02.2019,17,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,2,4,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.283333333,0:15:28,8.5,455,2,17,910,- ,Machine Shop Started,0,2,FALSE,FALSE,,,CLKLED-700-80-30-SO-14'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-5,,Rohan,Regular,FALSE,75801,Regular,5,2,0,2470,"LT05/18' 6""-22ND","CLKLED-700-80-30-SO-18' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,35,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,6,12,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.583333333,0:31:51,5.833333333,411.6666667,6,35,2470,- ,Machine Shop Started,0,6,FALSE,FALSE,,,"CLKLED-700-80-30-SO-18' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-8,,Rohan,Regular,FALSE,75801,Regular,8,1,0,455,LT05/6'-23RD,CLKLED-700-80-30-SO-6'-W-UNV-DP-1-AC-FW(6),18.02.2019,8.2,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,1,2,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.136666667,0:07:28,8.2,455,1,8.2,455,- ,Machine Shop Started,0,1,FALSE,FALSE,,,CLKLED-700-80-30-SO-6'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-9,,Rohan,Regular,FALSE,75801,Regular,9,1,0,585,LT05/9'-23RD,CLKLED-700-80-30-SO-9'-W-UNV-DP-1-AC-FW(6),18.02.2019,8.6,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,2,2,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.143333333,0:07:50,4.3,292.5,2,8.6,585,- ,Machine Shop Started,0,2,FALSE,FALSE,,,CLKLED-700-80-30-SO-9'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-10,,Rohan,Regular,FALSE,75801,Regular,10,2,0,1820,"LT05/13' 6""-23RD","CLKLED-700-80-30-SO-13' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,34,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,4,8,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.566666667,0:30:56,8.5,455,4,34,1820,- ,Machine Shop Started,0,4,FALSE,FALSE,,,"CLKLED-700-80-30-SO-13' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-11,,Rohan,Regular,FALSE,75801,Regular,11,2,0,1690,LT05/13'-23RD,CLKLED-700-80-30-SO-13'-W-UNV-DP-1-AC-FW(6),18.02.2019,34,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,4,8,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.566666667,0:30:56,8.5,422.5,4,34,1690,- ,Machine Shop Started,0,4,FALSE,FALSE,,,CLKLED-700-80-30-SO-13'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-12,,Rohan,Regular,FALSE,75801,Regular,12,1,0,910,LT05/14'-23RD,CLKLED-700-80-30-SO-14'-W-UNV-DP-1-AC-FW(6),18.02.2019,17,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,2,4,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.283333333,0:15:28,8.5,455,2,17,910,- ,Machine Shop Started,0,2,FALSE,FALSE,,,CLKLED-700-80-30-SO-14'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-13,,Rohan,Regular,FALSE,75801,Regular,13,1,0,1170,"LT05/17' 6""-23RD","CLKLED-700-80-30-SO-17' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,17.5,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,3,5,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.291666667,0:15:56,5.833333333,390,3,17.5,1170,- ,Machine Shop Started,0,3,FALSE,FALSE,,,"CLKLED-700-80-30-SO-17' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-14,,Rohan,Regular,FALSE,75801,Regular,14,2,0,2470,"LT05/18' 6""-23RD","CLKLED-700-80-30-SO-18' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,35,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,6,12,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.583333333,0:31:51,5.833333333,411.6666667,6,35,2470,- ,Machine Shop Started,0,6,FALSE,FALSE,,,"CLKLED-700-80-30-SO-18' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
