Order, Line, Status, Promised, Scheduled Ship Date, Issue, Missing Materials 
77282,2,7,Regular,22.01.2019,0,Material+Housing,Complete,Machine Shop Started
78080,1,7,Regular,22.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78254,1,7,High Priority,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78254,2,7,High Priority,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78254,3,7,High Priority,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78303,1,7,Priority,22.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76028,1,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,2,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,3,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,4,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,5,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,6,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,7,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,8,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,9,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,10,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,11,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,12,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,13,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,15,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,16,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,17,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,18,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,19,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,20,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,21,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,22,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,23,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,24,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,25,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,26,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,27,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,28,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,29,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,30,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,31,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,33,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,34,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,35,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,36,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,37,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,38,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,39,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,40,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,41,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,42,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
76028,43,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
78363,1,7,Regular,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78158,1,7,Regular,25.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
78158,2,7,Regular,25.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
76887,1,7,Regular,17.01.2019,0,+lens+Housing,Complete,Machine Shop Finished
76192,1,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76192,2,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76192,3,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76192,4,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76192,5,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76192,6,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
77069,1,7,Regular,21.01.2019,0,Material+lens+Cartridge,Complete,Machine Shop Started
77069,2,7,Regular,21.01.2019,0,Material+lens+Cartridge,Complete,Machine Shop Started
77069,3,7,Regular,21.01.2019,0,Material+lens+Cartridge,Complete,Machine Shop Started
77069,4,7,Regular,21.01.2019,0,Material+lens+Cartridge,Complete,Machine Shop Started
77069,5,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
77069,6,7,Regular,21.01.2019,0,Material+lens+Housing,Complete,Machine Shop Started
78082,1,7,Regular,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76385,5,7,Regular,21.01.2019,0,Material+Housing,Complete,Machine Shop Started
76385,6,7,Regular,21.01.2019,0,Material+Housing,Complete,Machine Shop Started
76385,7,7,Regular,21.01.2019,0,Material+Housing,Complete,Machine Shop Started
76385,8,7,Regular,21.01.2019,0,Material+Housing,Complete,Machine Shop Started
75730,4,7,Regular,23.01.2019,nan,Material+lens+Housing,Complete,Machine Shop Started
77791,1,7,Regular,21.01.2019,0,Material+Cartridge+Housing,Complete,Machine Shop Started
77791,2,7,Regular,21.01.2019,0,Material+Cartridge+Housing,Complete,Machine Shop Started
75859,4,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,29,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
