Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
77361-2,,Rohan,Regular,FALSE,77361,High Priority,2,8,0,2400,F4A-4' TG,BBRLED-350-80-35-FL-4'-W-UNV-DP-1-TG9,18.01.2019,24,Machine Shop Started,VERY URGENT (CONFIRMED BY LAZER TO CLIENT) MUST SHIP!,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,12",8,8,,,Picked - Complete,OK,Machine Shop Started,,,,0,1,Partial Order,0,FALSE,0,- ,0.4,0:21:50,3,300,8,24,2400,,- ,- ,Machine Shop Finished,,0,8,,FALSE,FALSE,,,BBRLED-350-80-35-FL-4'-W-UNV-DP-1-TG9,BBRLED,
77361-3,,Rohan,Regular,FALSE,77361,High Priority,3,5,0,3000,F4B-8',BBRLED-350-80-35-FL-8'-W-UNV-DP-1-TG9,18.01.2019,25,Machine Shop Started,VERY URGENT (CONFIRMED BY LAZER TO CLIENT) MUST SHIP!,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,12",5,10,,,Picked - Complete,OK,Machine Shop Started,,,,0,1,Partial Order,0,FALSE,0,- ,0.416666667,0:22:45,5,600,5,25,3000,,- ,- ,Machine Shop Finished,,0,5,,FALSE,FALSE,,,BBRLED-350-80-35-FL-8'-W-UNV-DP-1-TG9,BBRLED,
77361-4,,Rohan,Regular,FALSE,77361,High Priority,4,6,0,1170,F10-3',SCD-250-80-35-0.5M-3'-BLK-UNV-DP-1-CA(36)-C(WHITE INTERIOR),18.01.2019,27,Machine Shop Started,VERY URGENT (CONFIRMED BY LAZER TO CLIENT) MUST SHIP!,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,12",6,6,,,Picked - Complete,OK,Machine Shop Started,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.45,0:24:34,4.5,195,6,27,1170,,- ,- ,Machine Shop Finished,,0,6,,FALSE,FALSE,,,SCD-250-80-35-0.5M-3'-BLK-UNV-DP-1-CA(36)-C(WHITE INTERIOR),SCD,
77361-5,,Rohan,Regular,FALSE,77361,High Priority,5,4,0,1300,F10A-5',SCD-250-80-35-0.5M-5'-BLK-UNV-DP-1-CA(36)-C(WHITE INTERIOR),18.01.2019,27.6,Machine Shop Started,VERY URGENT (CONFIRMED BY LAZER TO CLIENT) MUST SHIP!,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,12",4,4,,,Picked - Complete,OK,Machine Shop Started,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.46,0:25:07,6.9,325,4,27.6,1300,,- ,- ,Machine Shop Finished,,0,4,,FALSE,FALSE,,,SCD-250-80-35-0.5M-5'-BLK-UNV-DP-1-CA(36)-C(WHITE INTERIOR),SCD,
77361-6,,Rohan,Regular,FALSE,77361,High Priority,6,3,0,1560,F10B-8',SCD-250-80-35-0.5M-8'-BLK-UNV-DP-1-CA(36)-C(WHITE INTERIOR),18.01.2019,20.7,Machine Shop Started,VERY URGENT (CONFIRMED BY LAZER TO CLIENT) MUST SHIP!,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,12",3,3,,,Picked - Complete,OK,Machine Shop Started,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.345,0:18:50,6.9,520,3,20.7,1560,,- ,- ,Machine Shop Finished,,0,3,,FALSE,FALSE,,,SCD-250-80-35-0.5M-8'-BLK-UNV-DP-1-CA(36)-C(WHITE INTERIOR),SCD,
77361-9,,Rohan,Regular,FALSE,77361,High Priority,9,3,0,5400,F20-24',BBRLED-500-80-35-FL-24'-W-UNV-DP-1-TG9,18.01.2019,51,Machine Shop Started,VERY URGENT (CONFIRMED BY LAZER TO CLIENT) MUST SHIP!,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,12",6,18,,,Picked - Complete,OK,Machine Shop Started,,,,0,1,Partial Order,0,FALSE,0,- ,0.85,0:46:25,8.5,900,6,51,5400,,- ,- ,Machine Shop Finished,,0,6,,FALSE,FALSE,,,BBRLED-500-80-35-FL-24'-W-UNV-DP-1-TG9,BBRLED,
77361-10,,Rohan,Regular,FALSE,77361,High Priority,10,9,0,7200,F21-8',BBRLED-400-80-35-FL-8'-CB20946(2)-W-UNV-DP-1+LDI-TG9,18.01.2019,90,Machine Shop Started,VERY URGENT (CONFIRMED BY LAZER TO CLIENT) MUST SHIP!,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"7,10",9,36,,,Picked - Complete,OK,Machine Shop Started,,,,0,1,Partial Order,0,FALSE,0,- ,1.5,1:21:54,10,800,9,90,7200,,- ,- ,Machine Shop Finished,,0,9,,FALSE,FALSE,,,BBRLED-400-80-35-FL-8'-CB20946(2)-W-UNV-DP-1+LDI-TG9,BBRLED,
78382-1,,Rohan,Regular,FALSE,78382,Regular,1,3,0,4140,F50D,BBRLED-500-80-30-1.5M-12'-W-120-DP-1-DS,22.01.2019,33,Machine Shop Started,,Picked - Complete,,,FALSE,,C - Small,"7,10",3,9,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.55,0:30:02,11,1380,3,33,4140,,- ,- ,Machine Shop Started,,0,3,,FALSE,FALSE,,,BBRLED-500-80-30-1.5M-12'-W-120-DP-1-DS,BBRLED,
75882-1,,Rajithan,Regular,FALSE,75882,Regular,1,9,0,2970,LT-G,"WBRLED-750-80-30-S-2-AP-UNV-DP-1-D-C(Overall length with endcap included to be no more than 25 3/8"" and no less than 24"")",17.01.2019,31.5,Machine Shop Finished,,,,,FALSE,,C - Small,"7,10",9,9,,Picked - Complete,,OK,Machine Shop Finished -Ready,,,,1,#REF!,Complete,Others,FALSE,Others,- ,0.525,0:28:40,3.5,330,9,31.5,2970,,- ,- ,Machine Shop Finished,,0,9,,TRUE,TRUE,,,"WBRLED-750-80-30-S-2-AP-UNV-DP-1-D-C(Overall length with endcap included to be no more than 25 3/8"" and no less than 24"")",WBRLED,Order Flagged
76500-1,,Rajithan,Regular,FALSE,76500,High Priority,1,9,0,1485,F-8,DIALED-22-2500-80-30-VL-W-UNV-DP-1-TB9,16.01.2019,25.2,Scheduled/Released,,,,,FALSE,,A - Regular,"7,10",9,9,,,,NO,Scheduled/Released,Material+lens+Housing,01.01.2020,,1,1,Partial Order,0,FALSE,0,- ,0.42,0:25:12,2.8,165,9,25.2,1485,,- ,- ,x,,0,9,,FALSE,FALSE,,,DIALED-22-2500-80-30-VL-W-UNV-DP-1-TB9,DIALED,
78417-1,,Rajithan,Regular,FALSE,78417,High Priority,1,2,0,5040,F4-36,"SLLED-SL 25/75-1000-80-35-VL-36-W-UNV-DP-1-CT15(36"")",30.01.2019,54,Scheduled/Released,,,,,FALSE,,A - Regular,"7,10",6,18,,,,NO,Scheduled/Released,Material+lens+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.9,0:49:08,9,840,6,54,5040,,- ,- ,Scheduled/Released,,0,6,,FALSE,FALSE,,,"SLLED-SL 25/75-1000-80-35-VL-36-W-UNV-DP-1-CT15(36"")",SLLED,
78417-2,,Rajithan,Regular,FALSE,78417,High Priority,2,2,0,12320,F4-88,"SLLED-SL 25/75-1000-80-35-VL-88-W-UNV-DP-1-CT15(36"")",30.01.2019,140,Scheduled/Released,,,,,FALSE,,A - Regular,"7,10",16,44,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,2.333333333,2:07:24,8.75,770,16,140,12320,,- ,- ,Scheduled/Released,,0,16,,FALSE,FALSE,,,"SLLED-SL 25/75-1000-80-35-VL-88-W-UNV-DP-1-CT15(36"")",SLLED,
78417-3,,Rajithan,Regular,FALSE,78417,High Priority,3,2,0,8960,F4-64,"SLLED-SL 25/75-1000-80-35-VL-64-W-UNV-DP-1-CT15(36"")",30.01.2019,102,Scheduled/Released,,,,,FALSE,,A - Regular,"7,10",12,32,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,1.7,1:32:49,8.5,746.6666667,12,102,8960,,- ,- ,Scheduled/Released,,0,12,,FALSE,FALSE,,,"SLLED-SL 25/75-1000-80-35-VL-64-W-UNV-DP-1-CT15(36"")",SLLED,
77053-1,,Sacha,Regular,FALSE,77053,Regular,1,1,0,500,L5-4',SCDI-500-400-80-35-SO-FL-4-W-120-DP-1-CT9(36),14.01.2019,7,Machine Shop Finished,"SHIP VIA DICOM#885623
NO LATER THAN JANAURY 17TH",Picked - Complete,,10.01.2019,FALSE,,C - Small,"7,10",1,2,Picked - Complete,,,#N/A,Machine Shop Finished,,11.01.2019,,1,#REF!,Complete,, ,,77053-1,0.116666667,0:06:22,7,500,1,7,500,,0,11.01.2019,x,,1,0,,TRUE,TRUE,,Done,SCDI-500-400-80-35-SO-FL-4-W-120-DP-1-CT9(36),SCDI,
77462-1,,Sacha,Regular,FALSE,77462,Regular,1,44,0,15400,DEL3A,WALED-14-4000-80-35-VL-W-120-DP-1-TG15,22.01.2019,132,Scheduled/Released,SP18250(2): FIXTURE MOUNTED VIA STEM,,,,FALSE,,A - Regular,"7,10",44,44,,,,NO,Scheduled/Released,Material+lens+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,2.2,2:12:00,3,350,44,132,15400,,- ,- ,Scheduled/Released,,0,44,,FALSE,FALSE,,,WALED-14-4000-80-35-VL-W-120-DP-1-TG15,WALED,
77462-2,,Sacha,Regular,FALSE,77462,Regular,2,20,0,8500,DEL3B,SP18491(2)-WALED-14-4000-80-35-VL-W-120-DP-1-CA(36),22.01.2019,60,Scheduled/Released,SP18250(2): FIXTURE MOUNTED VIA STEM,,,,FALSE,,A - Regular,"7,10",20,20,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,1,1:00:00,3,425,20,60,8500,,- ,- ,Scheduled/Released,,0,20,,FALSE,FALSE,,,WALED-14-4000-80-35-VL-W-120-D,WALED,
77914-1,,JessicaP,Regular,FALSE,77914,Regular,1,1,0,600,JL1-8',BBWDLED-400-80-40-SO-8'-W-UNV-DP-1,14.01.2019,7.13,Machine Shop Finished,,Picked - Complete,08.01.2019,10.01.2019,FALSE,,C - Small,"7,10",1,2,Picked - Complete,,Picked - Complete,#N/A,Machine Shop Finished,,11.01.2019,,1,#REF!,Complete,, ,,77914-1,0.118833333,0:06:29,7.13,600,1,7.13,600,,0,11.01.2019,x,,1,0,,TRUE,TRUE,,Done,BBWDLED-400-80-40-SO-8'-W-UNV-DP-1,BBWDLED,
77177-1,,Rajithan,Regular,FALSE,77177,High Priority,1,18,0,10800,R3,SCR-300-80-35-FL-TR75X4-W-UNV-DP-1-MFTG9,04.01.2019,162,Machine Shop Started,Must ship Jan 4th 2019,Picked - Complete,10.01.2019,,FALSE,,A - Regular,"7,10",18,18,,,Picked - Complete,NO,Machine Shop Started,#NAME?,01.01.2020,,1,1,Partial Order,Mechanical issue,FALSE,Mechanical issue,- ,2.7,2:27:25,9,600,18,162,10800,,- ,- ,Machine Shop Started,,0,18,,FALSE,FALSE,ToDo,,SCR-300-80-35-FL-TR75X4-W-UNV-DP-1-MFTG9,SCR,Order Flagged
78278-1,,Rajithan,Regular,FALSE,78278,Regular,1,1,0,1056,R13-16,BBRLED-750-80-40-FL-16'-W-UNV-DP-1-TG15,23.01.2019,10,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,"7,10",2,4,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.166666667,0:09:06,5,528,2,10,1056,,- ,- ,Machine Shop Started,,0,2,,FALSE,FALSE,,,BBRLED-750-80-40-FL-16'-W-UNV-DP-1-TG15,BBRLED,
78278-2,,Rajithan,Regular,FALSE,78278,Regular,2,2,0,1056,R13-8,BBRLED-750-80-40-FL-8'-W-UNV-DP-1-TG15,23.01.2019,9.2,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,"7,10",2,4,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.153333333,0:08:22,4.6,528,2,9.2,1056,,- ,- ,Machine Shop Started,,0,2,,FALSE,FALSE,,,BBRLED-750-80-40-FL-8'-W-UNV-DP-1-TG15,BBRLED,
78278-3,,Rajithan,Regular,FALSE,78278,Regular,3,75,0,19800,R13-4,BBRLED-750-80-40-FL-4'-W-UNV-DP-1-TG15,23.01.2019,187.5,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,"7,10",75,75,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,3.125,2:50:38,2.5,264,75,187.5,19800,,- ,- ,Machine Shop Started,,0,75,,FALSE,FALSE,,,BBRLED-750-80-40-FL-4'-W-UNV-DP-1-TG15,BBRLED,
78267-1,,Rohan,Regular,FALSE,78267,Regular,1,14,0,3710,B-2'X2',DIALED-22-3000-90-30-VL-W-UNV-LT(LTE)-1-TG9-FW(6),15.01.2019,40.6,Wiring Started,,,,,FALSE,,C - Small,"7,10",14,14,,,,NO,Wiring Issue,Material+lens+Housing,15.01.2019,,1,#REF!,Complete,PM wrong/missing info,FALSE,PM wrong/missing info,- ,0.676666667,0:40:36,2.9,265,14,40.6,3710,,- ,- ,Wiring Started,,14,0,,FALSE,FALSE,,,DIALED-22-3000-90-30-VL-W-UNV-LT(LTE)-1-TG9-FW(6),DIALED,Order Flagged
71687-1,,Shivam,Regular,FALSE,71687,Regular,1,1,0,200,DD-4',SCD-500-80-30-0.5M-4'-BLK-120-DP-1-CA(60),10.01.2019,5,Machine Shop Finished,NO LATER THAN JANUARY 15TH,Picked - Complete,,08.01.2019,TRUE,,A - Regular,"7,10",1,1,Picked - Complete,,,OK,Machine Shop Finished -Ready,,14.01.2019,,1,1,Partial Order,Shortage,TRUE,,71687-1,0.083333333,0:04:33,5,200,1,5,200,,0,11.01.2019,Wiring Started,,0,1,,FALSE,FALSE,,Done,SCD-500-80-30-0.5M-4'-BLK-120-DP-1-CA(60),SCD,
76702-1,,George,Regular,FALSE,76702,High Priority,1,3,0,2610.9,L1-6',"BBLED2-SL-1250-1000-90-30-SO-6-AP-UNV-DP-1-CT9(120"")",22.01.2019,35.4,Machine Shop Started,,,,,FALSE,,A - Regular,"7,10",3,12,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.59,0:32:13,11.8,870.3,3,35.4,2610.9,,- ,- ,Machine Shop Started,,0,3,,FALSE,FALSE,,,"BBLED2-SL-1250-1000-90-30-SO-6-AP-UNV-DP-1-CT9(120"")",BBLED2,
76702-2,,George,Regular,FALSE,76702,High Priority,2,1,0,953.1,L1D-6',"BBLED2-SL-1250-1000-90-30-SO-6-AP-UNV-DP-1-CT9(120"")-DS(1)",22.01.2019,13.6,Machine Shop Started,,,,,FALSE,,A - Regular,"7,10",1,4,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.226666667,0:12:23,13.6,953.1,1,13.6,953.1,,- ,- ,Machine Shop Started,,0,1,,FALSE,FALSE,,,"BBLED2-SL-1250-1000-90-30-SO-6-AP-UNV-DP-1-CT9(120"")-DS(1)",BBLED2,
76702-3,,George,Regular,FALSE,76702,High Priority,3,1,0,654.3,L2-6',"BBDLED-1000-90-30-SO-6-AP-UNV-DP-1-CA(120"")",22.01.2019,8.6,Machine Shop Started,,,,,FALSE,,A - Regular,"7,10",1,2,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.143333333,0:07:50,8.6,654.3,1,8.6,654.3,,- ,- ,Machine Shop Started,,0,1,,FALSE,FALSE,,,"BBDLED-1000-90-30-SO-6-AP-UNV-DP-1-CA(120"")",BBDLED,
76702-4,,George,Regular,FALSE,76702,High Priority,4,1,0,737.1,L2D-6',"BBDLED-1000-90-30-SO-6-AP-UNV-DP-1-CA(120"")-DS(1)",22.01.2019,10.5,Machine Shop Started,,,,,FALSE,,A - Regular,"7,10",1,2,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.175,0:09:33,10.5,737.1,1,10.5,737.1,,- ,- ,Machine Shop Started,,0,1,,FALSE,FALSE,,,"BBDLED-1000-90-30-SO-6-AP-UNV-DP-1-CA(120"")-DS(1)",BBDLED,
76702-5,,George,Regular,FALSE,76702,High Priority,5,1,0,857.7,L3-8',"BBDLED-1000-90-30-SO-8-AP-UNV-DP-1-CA(120"")",22.01.2019,8.6,Machine Shop Started,,,,,FALSE,,A - Regular,"12,1",1,2,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.143333333,0:07:50,8.6,857.7,1,8.6,857.7,,- ,- ,Machine Shop Started,,0,1,,FALSE,FALSE,,,"BBDLED-1000-90-30-SO-8-AP-UNV-DP-1-CA(120"")",BBDLED,
76702-6,,George,Regular,FALSE,76702,High Priority,6,4,0,3762,L3D-8',"BBDLED-1000-90-30-SO-8-AP-UNV-DP-1-CA(120"")-DS(1)",22.01.2019,42,Machine Shop Started,,,,,FALSE,,A - Regular,"12,1",4,8,,,,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.7,0:38:13,10.5,940.5,4,42,3762,,- ,- ,Machine Shop Started,,0,4,,FALSE,FALSE,,,"BBDLED-1000-90-30-SO-8-AP-UNV-DP-1-CA(120"")-DS(1)",BBDLED,
70280-1,,George,Regular,FALSE,70280,High Priority,1,433,0,85734,C1,WALED-22-4000-80-35-VL-W-UNV-O(DALI)-1-TB15,28.01.2019,1121.037,Scheduled/Released,,,,,FALSE,,A - Regular,"12,1",433,433,,,,NO,Scheduled/Released,Material+lens+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,18.68395,18:41:02,2.589,198,433,1121.04,85734,,- ,- ,Scheduled/Released,,0,433,,FALSE,FALSE,,,WALED-22-4000-80-35-VL-W-UNV-O(DALI)-1-TB15,WALED,
59584-13,,Gagandeep,Regular,FALSE,59584,Regular,13,2,0,800,F7-4,TBDILED-650-400-80-35-SO-4-C(HM642M649)-UNV-DP-1-CA(36),17.01.2019,12.22,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,"12,1",2,4,,Picked - Complete,,NO,Machine Shop Started,#NAME?,,,1,1,Partial Order,0,FALSE,0,- ,0.203666667,0:11:07,6.11,400,2,12.22,800,,- ,- ,Machine Shop Started,,0,2,,TRUE,FALSE,,,TBDILED-650-400-80-35-SO-4-C(HM642M649)-UNV-DP-1-CA(36),TBDILED,
59584-24,,Gagandeep,Regular,FALSE,59584,Regular,24,20,0,12000,F20,TBDILED-650-400-80-35-SO-6-BLK-UNV-DP-2-CA(48),17.01.2019,184,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,"12,1",20,40,,Picked - Complete,,NO,Machine Shop Started,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,3.066666667,2:47:26,9.2,600,20,184,12000,,- ,- ,Machine Shop Started,,0,20,,TRUE,FALSE,,,TBDILED-650-400-80-35-SO-6-BLK-UNV-DP-2-CA(48),TBDILED,
77398-1,,Rohan,Regular,FALSE,77398,Regular,1,3,0,1350,G-6',"BMRLED-750-80-30-FL-6'0""-W-UNV-DP-1-TG9-FW(6)",23.01.2019,20.16,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,"12,1",3,6,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.336,0:18:21,6.72,450,3,20.16,1350,,- ,- ,Machine Shop Started,,0,3,,FALSE,FALSE,,,"BMRLED-750-80-30-FL-6'0""-W-UNV-DP-1-TG9-FW(6)",BMRLED,
77398-2,,Rohan,Regular,FALSE,77398,Regular,2,1,0,695,GEM,"BMRLED-750-80-30-FL-6'0""-W-UNV-DP-1-TG9-B1(BSL310LP)-FW(6)",23.01.2019,10.53,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,"12,1",1,2,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.1755,0:09:35,10.53,695,1,10.53,695,,- ,- ,Machine Shop Started,,0,1,,FALSE,FALSE,,,"BMRLED-750-80-30-FL-6'0""-W-UNV-DP-1-TG9-B1(BSL310LP)-FW(6)",BMRLED,
77398-3,,Rohan,Regular,FALSE,77398,Regular,3,8,0,2400,G-4',"BMRLED-750-80-30-FL-4'0""-W-UNV-DP-1-TG9-FW(6)",23.01.2019,26.4,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,"12,1",8,8,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.44,0:24:01,3.3,300,8,26.4,2400,,- ,- ,Machine Shop Started,,0,8,,FALSE,FALSE,,,"BMRLED-750-80-30-FL-4'0""-W-UNV-DP-1-TG9-FW(6)",BMRLED,
71687-2,,Shivam,Regular,FALSE,71687,Regular,2,5,0,1500,FP4-6',SCR-500-80-27-FL-6'-W-120-DP-1-DB,10.01.2019,30,Machine Shop Finished,NO LATER THAN JANUARY 15TH,Picked - Complete,,08.01.2019,TRUE,,A - Regular,"12,1",5,5,Picked - Complete,,,OK,Machine Shop Finished -Ready,,14.01.2019,,0,1,Partial Order,Shortage,TRUE,,71687-2,0.5,0:27:18,6,300,5,30,1500,,0,11.01.2019,Wiring Started,,0,5,,FALSE,FALSE,,Done,SCR-500-80-27-FL-6'-W-120-DP-1-DB,SCR,
71687-3,,Shivam,Regular,FALSE,71687,Regular,3,1,0,300,FQ2-6',SCR-500-80-27-FL-6'-W-120-DP-1-DS,10.01.2019,6,Machine Shop Started,NO LATER THAN JANUARY 15TH,Picked - Complete,,08.01.2019,FALSE,,A - Regular,"12,1",1,1,Picked - Complete,,,OK,Machine Shop Started,,14.01.2019,,1,1,Partial Order,Shortage,TRUE,,- ,0.1,0:05:28,6,300,1,6,300,,- ,- ,Wiring Started,,0,1,,FALSE,FALSE,,Done,SCR-500-80-27-FL-6'-W-120-DP-1-DS,SCR,
71687-4,,Shivam,Regular,FALSE,71687,Regular,4,1,0,2950,FQ2-59',SCR-500-80-27-FL-59'-W-120-DP-1-DS,10.01.2019,54,Machine Shop Started,NO LATER THAN JANUARY 15TH,Picked - Complete,,08.01.2019,TRUE,,A - Regular,"12,1",7,7,Picked - Complete,,,OK,Machine Shop Started,,14.01.2019,,0,1,Partial Order,Wrong info. In SD,TRUE,,- ,0.9,0:49:08,7.714285714,421.4285714,7,54,2950,,- ,- ,Wiring Started,,0,7,,FALSE,FALSE,,Done,SCR-500-80-27-FL-59'-W-120-DP-1-DS,SCR,
77122-1,,Zahra,Regular,FALSE,77122,Regular,1,2,0,2400,C12,B2SQSLED-400-90-35-SO-12-W-UNV-DP-1-S,10.01.2019,17.58,Machine Shop Started,,Picked - Complete,07.01.2019,08.01.2019,FALSE,,C - Small,"12,1",2,6,,,Picked - Complete,OK,Machine Shop Started,,14.01.2019,,1,1,Partial Order,0,FALSE,0,- ,0.293,0:16:00,8.79,1200,2,17.58,2400,,- ,- ,Machine Shop Finished,,0,2,,FALSE,FALSE,,Done,B2SQSLED-400-90-35-SO-12-W-UNV-DP-1-S,B2SQSLED,
77527-1,,George,Regular,FALSE,77527,Regular,1,1,0,741.61,"D-8'-0""","ZESQDI-SL 50/50-950-90-40-SO-8' 0""-BLK-UNV-MD-1-CT9(36)",11.01.2019,9.4,Machine Shop Finished,,,,09.01.2019,FALSE,,C - Small,"12,1",1,2,Picked - Complete,,,OK,Machine Shop Finished -Ready,,14.01.2019,,1,#REF!,Complete,0,FALSE,0,77527-1,0.156666667,0:08:33,9.4,741.61,1,9.4,741.61,,0,11.01.2019,Machine Shop Finished,,0,1,,TRUE,TRUE,,Done,"ZESQDI-SL 50/50-950-90-40-SO-8' 0""-BLK-UNV-MD-1-CT9(36)",ZESQDI,
74968-1,,Shivam,Regular,FALSE,74968,Regular,1,1,0,5400,"A-23 '9-1/4""","SKPE-18075-SL 60/40-ASO-AL(#23' 9 1/4"")-1000-80-40-SO-C(RAL5012)-UNV-D-1-CA(36)",29.01.2019,60,Scheduled/Released,NO LATER THAN FEB 5TH,,,,TRUE,,A - Regular,"12,1",10,6,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,PM wrong/missing info,TRUE,,- ,1,0:54:36,6,540,10,60,5400,,- ,- ,Scheduled/Released,,0,10,,FALSE,FALSE,,,"SKPE-18075-SL 60/40-ASO-AL(#23' 9 1/4"")-1000-80-40-SO-C(RAL5012)-UNV-D-1-CA(36)",SKPE,
74968-2,,Shivam,Regular,FALSE,74968,Regular,2,1,0,3375,"B-14' 10-1/4""","SKPE-18075-SL 60/40-ASO-AL(#14' 10-1/4"")-1000-80-40-SO-C(RAL6038)-UNV-D-1-CA(36)",29.01.2019,40,Scheduled/Released,NO LATER THAN FEB 5TH,,,,TRUE,,A - Regular,"12,1",7,4,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,PM wrong/missing info,TRUE,,- ,0.666666667,0:36:24,5.714285714,482.1428571,7,40,3375,,- ,- ,Scheduled/Released,,0,7,,FALSE,FALSE,,,"SKPE-18075-SL 60/40-ASO-AL(#14' 10-1/4"")-1000-80-40-SO-C(RAL6038)-UNV-D-1-CA(36)",SKPE,
74968-3,,Shivam,Regular,FALSE,74968,Regular,3,1,0,3825,"C-16' 10-1/4""`","SKPE-18075-SL 60/40-ASO-AL(# 16' 10-1/4"")-1000-80-40-SO-C(RAL2007)-UNV-D-1-CA(36)",29.01.2019,40,Scheduled/Released,NO LATER THAN FEB 5TH,,,,TRUE,,A - Regular,"12,1",7,5,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,PM wrong/missing info,TRUE,,- ,0.666666667,0:36:24,5.714285714,546.4285714,7,40,3825,,- ,- ,Scheduled/Released,,0,7,,FALSE,FALSE,,,"SKPE-18075-SL 60/40-ASO-AL(# 16' 10-1/4"")-1000-80-40-SO-C(RAL2007)-UNV-D-1-CA(36)",SKPE,
78210-1,,Shivam,Quick Ship+,FALSE,78210,High Priority,1,75,0,11250,A-2X2,DIALED-22-4400-80-30-VL-W-UNV-DP-1-TB15,18.01.2019,205.5,Scheduled/Released,,,,,FALSE,,A - Regular,"12,1",75,75,,,,NO,Scheduled/Released,Material+lens+Housing,15.01.2019,,1,1,Partial Order,0,FALSE,0,- ,3.425,3:25:30,2.74,150,75,205.5,11250,,- ,- ,Wiring Started,,0,75,,FALSE,FALSE,,,DIALED-22-4400-80-30-VL-W-UNV-DP-1-TB15,DIALED,
